id_licitacao,id_estado,id_orgao,cd_orgao,nm_orgao,nr_licitacao,ano_licitacao,cd_tipo_modalidade,permite_subcontratacao,tp_fornecimento,descricao_objeto,vl_estimado_licitacao,data_abertura,data_homologacao,data_adjudicacao,vl_homologado,tp_licitacao,assunto,tipo_licitacao,tipo_modalidade_licitacao,sigla_estado
5f984ac21793b1f62ddad16c1fc49821,99,6d1be783819e685bea178158bacecb0b,160191,CENTRO PREPARACAO OFICIAIS RESERVA/RECIFE,000012019,14,-99,NA,NA,Objeto: Pregão Eletrônico -  Eventual aquisição de material permanente - GCALC - 7ªRM,322427.28,2019-08-14,2020-06-16,NA,NA,NA,NA,NA,Pregão - Registro de Preço,BR
f8d00cbb5b9970447762114b8baa0fa5,99,8d952f7675a9f0074632076a02396d89,154762,INST FED SUDESTE MG CAMPUS S. J. DEL REI,000012020,25,6,NA,NA,Objeto: Aquisição de insumos para ações de enfrentamento e difusão de informações referentes ao Covid-19.,29900.7,2020-05-25,2020-06-05,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
e169778263df391e3e66dcad350b4d37,99,eccc47598d56a316bcc8d38f48be53f2,155124,HOSP UNIVERSITARIO MARIA APARECIDA PEDROSSIAN,000012020,2020,7,NA,NA,"Objeto: Aquisição de tubo de raio-X, totalmente compatível com o aparelho de tomografia computadorizada, marca Canon: modelo: Aquilion 64 série: HCB1193960",653400,NA,2020-06-18,NA,NA,NA,NA,NA,Inexigibilidade de Licitação,BR
c8a654687e687429641ebf674c4445c1,99,df14f9968df2992d8dae122d31dfb165,155854,INST. FED. NORTE DE MG / CAMPUS TEOFILO OTONI,000012020,2020,6,NA,NA,"Objeto: Aquisição de Filamentos(insumos para a produção de equipamento de proteção individual para agentes de saúde,  com a finalidade de enfrentamento da COVID-19).",5455.8,NA,2020-06-18,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
5818a81bb1196756614723abf57c58c8,99,c0262beaa0e67e063edce6837b750f13,155906,MATERNIDADE CLIMERIO DE OLIVEIRA,000012020,2020,7,NA,NA,"Objeto: Contratação de empresa especializada em serviço de manutenção corretiva com fornecimento de peças em monitores multiparamétrico da marca Lifemed, modelo LIFETOUCH 10, de tombo nº 770.422 (série MML0400032), nº 770.430 (série MNI0700460) e nº 770.427 (série MML0400082), todos pertencentes à Maternidade Climério de Oliveira.",6424,NA,2020-06-18,NA,NA,NA,NA,NA,Inexigibilidade de Licitação,BR
d12d04513f18fa25bd622b2d536b0da5,99,30f7fd90066ee16da3e24e9fd6ab0e78,158503,INSTITUTO FEDERAL FARROUPILH CAMPUS SAO BORJA,000012020,2020,6,NA,NA,"Objeto: Impressora 3D com simplify 3D, nas seguintes especificações: Baixo nível de ruído, teclas de atalho e teclas com funções programáveis, auto Power Off, área de impressão: 400x400x400 mm, (64 litros), mesa de impressão estática, nivelamento automático, velocidade de impressão: até 150 mm/s, velocidade de deslocamento (travel): até 300 mm/s, temperatura máxima do bico: 270ºC,  LCD integrado / Entrada para Cartão SD, mesa aquecida, resolução ajustável (altura de camada) 50 m...",12300,NA,2020-06-22,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
8cf6277cd46ecd5c072287f0f6ec2882,99,bca2a7fb9ed19256f624a718169886b9,160472,5º BATALHAO DE INFANTARIA LEVE,000012020,27,-99,NA,NA,"Objeto: Pregão Eletrônico -  Registro de preços de material de limpeza, de higiene e descartáveis.",37050,2020-05-27,2020-06-04,NA,NA,NA,NA,NA,Pregão - Registro de Preço,BR
aec8589cdd4e476402d373d4192d25f5,99,8b3fadce76cec59b3afc42538166b73a,200141,SUPERINTENDENCIA REG. POL. RODV. FEDERAL-DF,000012020,1,5,NA,NA,"Objeto: Pregão Eletrônico -  Aquisição de EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL, TERMÔMETRO, APARELHO PARA AFERIR PRESSÃO ARTERIAL, ÁLCOOL EM GEL 70% E PRODUTOS PARA LIMPEZA E DESINFECÇÃO,  conforme condições, quantidades e exigências estabelecidas NO Edital e Anexos.",41109.7,2020-06-01,2020-06-08,NA,NA,NA,NA,NA,Pregão,BR
6d9dca3ead311430f3100d706368b604,99,9fc12cb5eba6249784d1a93ed070a1a0,150244,HOSPITAL UNIVERSITARIO WALTER CANTIDIO,000022019,17,-99,NA,NA,"Objeto: Pregão Eletrônico -  Aquisição de INSUMOS DIVERSOS   PRODUTOS PARA SAÚDE, para atender as necessidades do Hospital Universitário Walter Cantídio   HUWC, UASG: 150244 e da Maternidade Escola Assis Chateaubriand   MEAC, UASG: 150246, conforme condições, quantidades e exigências estabelecidas em edital.",0,2019-05-17,2020-06-04,NA,NA,NA,NA,NA,Pregão - Registro de Preço,BR
408b9975d1183f313b25ae7d7a93f037,99,1e4324e6d73a1a5ef41ab034bd688fbd,153155,MATERNIDADE ESCOLA DA UFRJ,000022020,4,5,NA,NA,"Objeto: Pregão Eletrônico -  Aquisição de itens de MEDICAMENTOS, visando atender as necessidades da Maternidade Escola da Universidade Federal do Rio de Janeiro, estes matérias (Itens) são necessários para  o enfrentamento da emergência na saúde pública, causada pela pandemia COVID-19, que vem causando enormes prejuízos a saúde da população nacional e internacional. Conforme condições, quantidades e exigências estabelecida no Instrumento Convocatório.",613718.56,2020-06-04,2020-06-26,NA,NA,NA,NA,NA,Pregão,BR
