id_item_contrato,ds_item,sg_unidade_medida,ds_1,ds_2,ds_3,ids_itens_contratos
5045,"LAVA-LOUÇAS, MATERIAL CHAPA AÇO INOXIDÁVEL, ALTURA 670 MM, LARGURA 700 MM, PROFUNDIDADE 1400 MM MARCA: NETTER ITEM DO PROCESSO: 00080 ITEM DE MATERIAL: 000239726",NA,"LAVA-LOUÇAS,","LAVA-LOUÇAS, MATERIAL","LAVA-LOUÇAS, MATERIAL CHAPA","{540d41afd19e60dc8d7daca087718649,5b464c18f74c7cccc8c619cbf347bfa4}"
5048,ADICIONAL DE DESLOCAMENTO.,NA,ADICIONAL,ADICIONAL DE,ADICIONAL DE DESLOCAMENTO.,{e1bad8e600eeda36cb5ffc1eda492ff4}
5047,190026067 COMPRESSA DE GAZE #AB3X,NA,190026067,190026067 COMPRESSA,190026067 COMPRESSA DE,"{c5083ad0a81db538e39c78bb4bdc6335,b8ff47b951b596d90609e520cd2e0e13}"
5053,OPERAÇÃO REGRESSO,NA,OPERAÇÃO,OPERAÇÃO REGRESSO,OPERAÇÃO REGRESSO ,{0df1d6dd7e5341bbf7baa0e8dfaa68a3}
5051,INDENIZAÇÃO DE DIÁRIA FIM PARTICIPAÇÃO DO WORKSHOP DO MINISTÉRIO DA DEFESA RELATIVO À OPERAÇÃO REGRESSO À PÁTRIA AMADA BRASIL NO PERÍODO DE 17 A 18MAR20.VALOR REFERENTE A UMA DIÁRIA E MEIA.,NA,INDENIZAÇÃO,INDENIZAÇÃO DE,INDENIZAÇÃO DE DIÁRIA,"{69cbf7cfcc94853f300fa82cc840bf1d,06d0e0122d78b37b98bc32ba64097341}"
5056,"GAS MASK FILTER, MODEL CBRNCF50 NIOSH APPROVED",NA,GAS,GAS MASK,"GAS MASK FILTER,",{934451fa322d79dd16ea8d9713e77050}
5091,VENTILOMETRO DE MAO,NA,VENTILOMETRO,VENTILOMETRO DE,VENTILOMETRO DE MAO,{77aa001f152194ed01d52d51b11d9c6e}
5098,PAPAGAIO INOX,NA,PAPAGAIO,PAPAGAIO INOX,PAPAGAIO INOX ,"{793a804ed951fec66566bec36d348dce,e41e10cf18d697670ceb892cc2ac27ed}"
5099,ELETROCARDIOGRAFO DIGITAL COM 12 CANAIS,NA,ELETROCARDIOGRAFO,ELETROCARDIOGRAFO DIGITAL,ELETROCARDIOGRAFO DIGITAL COM,{bd9ac05b8afbf5cc630a8241dbd4203c}
5077,ESTETOSCÓPIO ORIGINAL 000465738,Unidade,ESTETOSCÓPIO,ESTETOSCÓPIO ORIGINAL,ESTETOSCÓPIO ORIGINAL 000465738,{ec28b37beb3f0cb2414c20c4f0b9e5b9}
5081,"ENVASADORA P/USO FARMACEUTICO COM PROPULSAO PNEUMATICA p/ENVASE DE LIQUIDOS E SEMI-SOLIDOS, CAPACIDADE MINIMA DE 20L, EM ACO INOXIDAVEL SANITARIO.",NA,ENVASADORA,ENVASADORA P/USO,ENVASADORA P/USO FARMACEUTICO,{31949d26c02c8a9a7b3aad7f050808fb}
5082,BACIA DE INOX PARA BANHO DE PACIENTE,NA,BACIA,BACIA DE,BACIA DE INOX,{afbc2265751ac7ee93eab5e93af72539}
5115,CARDIOVERSOR PORTATIL,NA,CARDIOVERSOR,CARDIOVERSOR PORTATIL,CARDIOVERSOR PORTATIL ,{2887b725c3873f66d004f978d6591765}
5117,"SELADORA DE PAPEL LARGURA DE 500 MM ACIONAMENTO A PEDAL SELADORA DE PISO, COM ACIONAMENTO VIA PEDAL, COM AS SEGUINTES CARACTERISTICAS MINIMAS: LARGURA DE SELAGEM DE 500 MM, ESPESSURA DE 3 MM, POTENCIA MINIMA DE 350 W, COM CONTROLE DE TEMPO E DE TEMPERATURA DE SELAGEM, COM SELAGEM INSTANTANEA (SEM PRE-AQUECIMENTO), ALIMENTACAO DE 127 V AC/ 60 HZ, PINTURA EPOXI PO NA COR BRANCA, GARANTIA DE 12 MESES. TIPO SELOMACK 500, OU SIMILAR.",NA,SELADORA,SELADORA DE,SELADORA DE PAPEL,{cbe209a51d93949b98151fc847910090}
5062,DIARIAS EFETIVO MILITAR EMAER,NA,DIARIAS,DIARIAS EFETIVO,DIARIAS EFETIVO MILITAR,"{d57d60b259d4355ad6f94f1158c804d9,afc1f627e14689557aba21365ec284b0,2f12d1d415bbd6acf8c0e119a37e4ba6,302e847b47d5bec9e6e88156a28aa681,28c1af4a1b52f17ebf1b21541f6205d0}"
5126,VIDEOLARINGOSCOPIO C/CAMERA E MONITOR,NA,VIDEOLARINGOSCOPIO,VIDEOLARINGOSCOPIO C/CAMERA,VIDEOLARINGOSCOPIO C/CAMERA E,{4791318a6412fe685906e6f1493d5b3d}
5127,"GUIA TROCADORA DE TUBO ENDOTRAQUEAL C/ APROXIMADAMENTE 80 CM de comprimento, EM POLIURETANO, 14 FR (>5MM) OU 19 FR (>7MM), CONFORME SOLICITACAO.",NA,GUIA,GUIA TROCADORA,GUIA TROCADORA DE,{d17123de5a6ccd0971199f70154d485b}
5130,EQ. P/ELEVACAO DE PACIENTES OBESOS - 300KG - C/BALANCA,NA,EQ.,EQ. P/ELEVACAO,EQ. P/ELEVACAO DE,{c3cc2e5f905abe1a8d36c98976ea5cd5}
5132,CARRO TERMICO - CAPACIDADE 24 BANDEJAS PARA TRANSPORTE E DISTRIBUIÇÃO DE ALIMENTOS.,NA,CARRO,CARRO TERMICO,CARRO TERMICO -,{01daba5ed2de225fe7e16831446e36f5}
5133,ESTAçãO REGENERADORA PARA CARROS TERMICOS,NA,ESTAçãO,ESTAçãO REGENERADORA,ESTAçãO REGENERADORA PARA,{c78cd779cf601fcc19ae0334b8e218a2}
5135,RAIO X MOVEL,NA,RAIO,RAIO X,RAIO X MOVEL,{14f86dd1f156621848f9ce91aeb438af}
5136,ESTATIVA DE TETO COM 2 BRACOS ARTICULADOS P/USO EM UTI,NA,ESTATIVA,ESTATIVA DE,ESTATIVA DE TETO,{df91fdfe3207d1646537c2b1c3c59a8b}
5137,DIARIA NACIONAL MILITAR,NA,DIARIA,DIARIA NACIONAL,DIARIA NACIONAL MILITAR,{f04d9101d8f12bdad2a1ebac9d3268cd}
5140,EQUIP. P/CONTRAPULSACAO ELETROMECANICA - BALAO INTRA AORTICO,NA,EQUIP.,EQUIP. P/CONTRAPULSACAO,EQUIP. P/CONTRAPULSACAO ELETROMECANICA,{615f4d6a7780d4c731781093c7cfecd2}
5105,CAMA ELETRONICA DE INTERNACAO - ADULTO,NA,CAMA,CAMA ELETRONICA,CAMA ELETRONICA DE,"{dab9821b7d9187d620e6e13a0bd993ea,c99e050f69f48feaaddfa637c43b0bfe,eadba8426c8101651ab5ee6edb751e21}"
5125,CARRO METALICO P/TRANSPORTE DE ROUPA LIMPA - GRANDE VER ANEXO COM ESPECIFICACOES (DESENHO E DESCRITIVO TECNICO).,NA,CARRO,CARRO METALICO,CARRO METALICO P/TRANSPORTE,"{90b9b833998f3d630f80fed63830acb6,5fd640132abbce1f012afc011778b2af}"
5144,ESTUFA PARA AQUECIMENTO DE SOLUCOES- CAPACIDADE 40L,NA,ESTUFA,ESTUFA PARA,ESTUFA PARA AQUECIMENTO,{13430da57b8ca160919f760ee861fed4}
5154,CIRCUITO VENTILATORIO DESCARTAVEL ADULTO PARA ANESTESIA com CONEXOES COMPATIVEIS COM EQUIPAMENTO MINDRAY E DRAGER.,NA,CIRCUITO,CIRCUITO VENTILATORIO,CIRCUITO VENTILATORIO DESCARTAVEL,{edc6bb7d5838fbaac0ead8895efe4c98}
5163,PAG 67369.037144/2020-75 - SOL EMPENHO 20S0237 APLICACAO: ATENDER DIARIAS DA OP REGRESSO,NA,PAG,PAG 67369.037144/2020-75,PAG 67369.037144/2020-75 -,{a89cdf64fb3155226c11f0d26786f862}
5123,"EQUIPO COLORIDO P/ BOMBA DE INFUSAO DE DIETA ENTERAL AMIKA equipo tubo e camara gotejadora em pvc transparente, flexivel, livre de latex e dehp, apirogenico, atoxico. clamp antirefluxo livre com trava mecanica. injetor lateral tipo valvula 3 vias. rosca perfurante colorida com capa protetora. rosca para fixacao nas bolsas de dieta. terminal conico escalonado colorido que nao permite conexao em acesso venoso. embalagem individual, esteril. AQUISICAO DE EQUIPOS COM LOCACAO DE BOMBAS",NA,EQUIPO,EQUIPO COLORIDO,EQUIPO COLORIDO P/,"{677651b5a6a4d9dcd3ac90675821a900,c57cedb404b9dc5205549a7ad498eeb3}"
5147,CARRO FUNCIONAL PARA LIMPEZA - GRANDE PARA USO DO SERVICO DE HIGIENIZACAO.,NA,CARRO,CARRO FUNCIONAL,CARRO FUNCIONAL PARA,"{0b1958812abfa84d5f43fbb5c3290c08,45555eb93e16a17a5bbd134a49d4d891}"
